Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000,Ray Allen*,SG,24,MIL,5,5,186,40,90,0.444,10,26,0.385,30,64,0.469,0.5,20,22,0.909,10,23,33,13,8,0,9,10,110
2000,Rafer Alston,PG,23,MIL,4,0,16,0,3,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0
2000,Nick Anderson,SG,32,SAC,5,5,132,11,34,0.324,7,20,0.35,4,14,0.286,0.426,7,8,0.875,4,13,17,2,1,3,4,9,36
2000,Greg Anthony,PG,32,POR,15,0,213,19,52,0.365,10,31,0.323,9,21,0.429,0.462,12,16,0.75,2,14,16,25,13,4,12,27,60
2000,Stacey Augmon,SG,31,POR,7,0,34,4,12,0.333,0,0,0,4,12,0.333,0.333,1,2,0.5,0,2,2,0,0,0,0,6,9
2000,Toby Bailey,SG,24,PHO,5,0,15,1,4,0.25,0,0,0,1,4,0.25,0.25,2,4,0.5,1,1,2,2,0,0,0,1,4
2000,Vin Baker,C,28,SEA,5,4,177,30,75,0.4,0,1,0,30,74,0.405,0.4,10,17,0.588,16,22,38,10,5,2,16,19,70
2000,Brent Barry,SG,28,SEA,5,3,155,12,33,0.364,8,20,0.4,4,13,0.308,0.485,10,14,0.714,3,10,13,15,3,3,7,20,42
2000,Jon Barry,SG,30,SAC,5,0,102,9,21,0.429,7,12,0.583,2,9,0.222,0.595,14,16,0.875,2,10,12,12,3,0,4,7,39
2000,Jonathan Bender,SF,19,IND,9,0,21,4,6,0.667,1,1,1,3,5,0.6,0.75,3,6,0.5,0,3,3,0,1,0,0,2,12
2000,Travis Best,PG,27,IND,23,0,463,77,179,0.43,13,30,0.433,64,149,0.43,0.466,37,44,0.841,15,42,57,66,19,4,25,61,204
2000,Corie Blount,PF,31,PHO,9,0,162,17,31,0.548,0,0,0,17,31,0.548,0.548,10,18,0.556,25,31,56,3,6,6,13,36,44
2000,Muggsy Bogues,PG,35,TOR,3,2,87,6,21,0.286,3,9,0.333,3,12,0.25,0.357,1,3,0.333,3,3,6,5,4,0,4,4,16
2000,Lazaro Borrell,SF,27,SEA,2,1,26,4,7,0.571,0,0,0,4,7,0.571,0.571,2,4,0.5,3,8,11,1,0,0,1,2,10
2000,Bruce Bowen,SF,28,MIA,10,0,157,10,27,0.37,5,22,0.227,5,5,1,0.463,10,16,0.625,1,9,10,8,7,4,6,27,35
2000,Ira Bowman,SG,26,PHI,7,0,11,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0
2000,Terrell Brandon,PG,29,MIN,4,4,162,32,63,0.508,4,11,0.364,28,52,0.538,0.54,10,11,0.909,4,19,23,34,3,0,8,11,78
2000,Dee Brown,PG,31,TOR,3,0,19,0,4,0,0,3,0,0,1,0,0,0,0,0,0,2,2,2,2,0,1,4,0
2000,P.J. Brown,PF,30,MIA,10,10,308,35,82,0.427,0,0,0,35,82,0.427,0.427,5,6,0.833,26,56,82,11,8,4,11,42,75
2000,Rick Brunson,PG,27,NYK,3,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0
2000,Kobe Bryant,SG,21,LAL,22,22,857,174,394,0.442,22,64,0.344,152,330,0.461,0.47,95,126,0.754,26,72,98,97,32,32,55,89,465
2000,Jud Buechler,SF,31,DET,3,0,34,2,7,0.286,2,5,0.4,0,2,0,0.429,0,0,0,0,4,4,1,0,1,0,4,6
2000,Rodney Buford,SG,22,MIA,1,0,16,4,8,0.5,1,2,0.5,3,6,0.5,0.563,2,2,1,0,1,1,1,0,0,0,3,11
2000,Marcus Camby,C,25,NYK,16,0,386,29,86,0.337,0,1,0,29,85,0.341,0.337,19,31,0.613,35,77,112,6,8,23,12,51,77
2000,Elden Campbell,C,31,CHH,4,4,150,22,47,0.468,0,1,0,22,46,0.478,0.468,13,14,0.929,9,24,33,4,2,4,8,16,57
2000,Anthony Carter,PG,24,MIA,10,3,275,32,77,0.416,1,6,0.167,31,71,0.437,0.422,12,16,0.75,8,32,40,56,12,2,23,22,77
2000,Vince Carter,SF,23,TOR,3,3,119,15,50,0.3,1,10,0.1,14,40,0.35,0.31,27,31,0.871,9,9,18,19,3,4,8,12,58
2000,Sam Cassell,PG,30,MIL,5,5,178,30,72,0.417,1,5,0.2,29,67,0.433,0.424,18,21,0.857,0,17,17,45,4,0,9,19,79
2000,Chris Childs,PG,32,NYK,16,0,334,27,70,0.386,9,28,0.321,18,42,0.429,0.45,24,28,0.857,1,36,37,39,7,0,14,53,87
2000,Doug Christie,SG,29,TOR,3,1,61,3,13,0.231,3,8,0.375,0,5,0,0.346,3,6,0.5,1,4,5,6,4,1,4,10,12
2000,Derrick Coleman,PF,32,CHH,4,4,169,27,57,0.474,5,16,0.313,22,41,0.537,0.518,22,28,0.786,10,40,50,14,3,12,13,11,81
2000,Tyrone Corbin,SF,37,SAC,3,0,23,2,5,0.4,0,2,0,2,3,0.667,0.4,0,1,0,1,4,5,3,0,0,0,2,4
2000,Austin Croshere,PF,24,IND,23,2,490,64,153,0.418,15,37,0.405,49,116,0.422,0.467,73,87,0.839,31,78,109,19,9,16,25,51,216
